Unnamed: 0,Date,AQI,Date_date,Year,Month
0,2020-03-05,73.0,2020-03-05,2020,3
1,2020-03-06,55.0,2020-03-06,2020,3
2,2020-03-07,78.0,2020-03-07,2020,3
3,2020-03-08,120.0,2020-03-08,2020,3
4,2020-03-09,179.0,2020-03-09,2020,3
5,2020-03-10,224.0,2020-03-10,2020,3
6,2020-03-11,106.0,2020-03-11,2020,3
7,2020-03-12,140.0,2020-03-12,2020,3
8,2020-03-13,164.0,2020-03-13,2020,3
9,2020-03-14,123.0,2020-03-14,2020,3
10,2020-03-15,147.0,2020-03-15,2020,3
11,2020-03-16,251.0,2020-03-16,2020,3
12,2020-03-17,245.0,2020-03-17,2020,3
13,2020-03-18,301.0,2020-03-18,2020,3
14,2020-03-19,200.0,2020-03-19,2020,3
15,2020-03-20,223.0,2020-03-20,2020,3
16,2020-03-21,132.0,2020-03-21,2020,3
17,2020-03-22,225.0,2020-03-22,2020,3
18,2020-03-23,121.0,2020-03-23,2020,3
19,2020-03-24,120.0,2020-03-24,2020,3
20,2020-03-25,69.0,2020-03-25,2020,3
21,2020-03-26,71.0,2020-03-26,2020,3
22,2020-03-27,46.0,2020-03-27,2020,3
23,2020-03-28,54.0,2020-03-28,2020,3
24,2020-03-29,71.0,2020-03-29,2020,3
25,2020-03-30,73.0,2020-03-30,2020,3
26,2020-03-31,77.0,2020-03-31,2020,3
27,2020-04-01,67.0,2020-04-01,2020,4
28,2020-04-02,78.0,2020-04-02,2020,4
29,2020-04-03,88.0,2020-04-03,2020,4
30,2020-04-04,73.0,2020-04-04,2020,4
31,2020-04-05,101.0,2020-04-05,2020,4
32,2020-04-06,95.0,2020-04-06,2020,4
33,2020-04-07,100.0,2020-04-07,2020,4
34,2020-04-08,85.0,2020-04-08,2020,4
35,2020-04-09,85.0,2020-04-09,2020,4
36,2020-04-10,126.0,2020-04-10,2020,4
37,2020-04-11,107.0,2020-04-11,2020,4
38,2020-04-12,87.0,2020-04-12,2020,4
39,2020-04-13,124.0,2020-04-13,2020,4
40,2020-04-14,152.0,2020-04-14,2020,4
41,2020-04-15,173.0,2020-04-15,2020,4
42,2020-04-16,136.0,2020-04-16,2020,4
43,2020-04-17,92.0,2020-04-17,2020,4
44,2020-04-18,93.0,2020-04-18,2020,4
45,2020-04-19,98.0,2020-04-19,2020,4
46,2020-04-20,111.0,2020-04-20,2020,4
47,2020-04-21,86.0,2020-04-21,2020,4
48,2020-04-22,122.0,2020-04-22,2020,4
49,2020-04-23,113.0,2020-04-23,2020,4
50,2020-04-24,119.0,2020-04-24,2020,4
51,2020-04-25,92.0,2020-04-25,2020,4
52,2020-04-26,147.0,2020-04-26,2020,4
53,2020-04-27,89.0,2020-04-27,2020,4
54,2020-04-28,96.0,2020-04-28,2020,4
55,2020-04-29,131.0,2020-04-29,2020,4
56,2020-04-30,118.0,2020-04-30,2020,4
57,2020-05-01,130.0,2020-05-01,2020,5
58,2020-05-02,113.0,2020-05-02,2020,5
59,2020-05-03,101.0,2020-05-03,2020,5
60,2020-05-04,98.0,2020-05-04,2020,5
61,2020-05-05,98.0,2020-05-05,2020,5
62,2020-05-06,121.0,2020-05-06,2020,5
63,2020-05-07,116.0,2020-05-07,2020,5
64,2020-05-08,144.0,2020-05-08,2020,5
65,2020-05-09,155.0,2020-05-09,2020,5
66,2020-05-10,109.0,2020-05-10,2020,5
67,2020-05-11,104.0,2020-05-11,2020,5
68,2020-05-12,121.0,2020-05-12,2020,5
69,2020-05-13,128.0,2020-05-13,2020,5
70,2020-05-14,120.0,2020-05-14,2020,5
71,2020-05-15,105.0,2020-05-15,2020,5
72,2020-05-16,121.0,2020-05-16,2020,5
73,2020-05-17,161.0,2020-05-17,2020,5
74,2020-05-18,109.0,2020-05-18,2020,5
75,2020-05-19,151.0,2020-05-19,2020,5
76,2020-05-20,121.0,2020-05-20,2020,5
77,2020-05-21,132.0,2020-05-21,2020,5
78,2020-05-22,148.0,2020-05-22,2020,5
79,2020-05-23,228.0,2020-05-23,2020,5
80,2020-05-24,185.0,2020-05-24,2020,5
81,2020-05-25,185.0,2020-05-25,2020,5
82,2020-05-26,205.0,2020-05-26,2020,5
83,2020-05-27,315.0,2020-05-27,2020,5
84,2020-05-28,320.0,2020-05-28,2020,5
85,2020-05-29,103.0,2020-05-29,2020,5
86,2020-05-30,88.0,2020-05-30,2020,5
87,2020-05-31,89.0,2020-05-31,2020,5
88,2020-06-01,112.0,2020-06-01,2020,6
89,2020-06-02,99.0,2020-06-02,2020,6
90,2020-06-03,131.0,2020-06-03,2020,6
91,2020-06-04,161.0,2020-06-04,2020,6
92,2020-06-05,97.0,2020-06-05,2020,6
93,2020-06-06,125.0,2020-06-06,2020,6
94,2020-06-07,111.0,2020-06-07,2020,6
95,2020-06-08,107.0,2020-06-08,2020,6
96,2020-06-09,133.0,2020-06-09,2020,6
97,2020-06-10,120.0,2020-06-10,2020,6
98,2020-06-11,123.0,2020-06-11,2020,6
99,2020-06-12,166.0,2020-06-12,2020,6
100,2020-06-13,139.0,2020-06-13,2020,6
101,2020-06-14,166.0,2020-06-14,2020,6
102,2020-06-15,122.0,2020-06-15,2020,6
103,2020-06-16,114.0,2020-06-16,2020,6
104,2020-06-17,105.0,2020-06-17,2020,6
105,2020-06-18,133.0,2020-06-18,2020,6
106,2020-06-19,232.0,2020-06-19,2020,6
107,2020-06-20,171.0,2020-06-20,2020,6
108,2020-06-21,117.0,2020-06-21,2020,6
109,2020-06-22,129.0,2020-06-22,2020,6
110,2020-06-23,100.0,2020-06-23,2020,6
111,2020-06-24,93.0,2020-06-24,2020,6
112,2020-06-25,113.0,2020-06-25,2020,6
113,2020-06-26,156.0,2020-06-26,2020,6
114,2020-06-27,149.0,2020-06-27,2020,6
115,2020-06-28,245.0,2020-06-28,2020,6
116,2020-06-29,147.0,2020-06-29,2020,6
117,2020-06-30,129.0,2020-06-30,2020,6
118,2020-07-01,149.0,2020-07-01,2020,7
119,2020-07-02,178.0,2020-07-02,2020,7
120,2020-07-03,182.0,2020-07-03,2020,7
121,2020-07-04,115.0,2020-07-04,2020,7
122,2020-07-05,86.0,2020-07-05,2020,7
123,2020-07-06,115.0,2020-07-06,2020,7
124,2020-07-07,61.0,2020-07-07,2020,7
125,2020-07-08,72.0,2020-07-08,2020,7
126,2020-07-09,92.0,2020-07-09,2020,7
127,2020-07-10,105.0,2020-07-10,2020,7
128,2020-07-11,82.0,2020-07-11,2020,7
129,2020-07-12,67.0,2020-07-12,2020,7
130,2020-07-13,119.0,2020-07-13,2020,7
131,2020-07-14,129.0,2020-07-14,2020,7
132,2020-07-15,145.0,2020-07-15,2020,7
133,2020-07-16,103.0,2020-07-16,2020,7
134,2020-07-17,108.0,2020-07-17,2020,7
135,2020-07-18,117.0,2020-07-18,2020,7
136,2020-07-19,71.0,2020-07-19,2020,7
137,2020-07-20,68.0,2020-07-20,2020,7
138,2020-07-21,90.0,2020-07-21,2020,7
139,2020-07-22,56.0,2020-07-22,2020,7
140,2020-07-23,105.0,2020-07-23,2020,7
141,2020-07-24,130.0,2020-07-24,2020,7
142,2020-07-25,110.0,2020-07-25,2020,7
143,2020-07-26,126.0,2020-07-26,2020,7
144,2020-07-27,109.0,2020-07-27,2020,7
145,2020-07-28,93.0,2020-07-28,2020,7
146,2020-07-29,115.0,2020-07-29,2020,7
147,2020-07-30,63.0,2020-07-30,2020,7
148,2020-07-31,109.0,2020-07-31,2020,7
149,2020-08-01,111.0,2020-08-01,2020,8
150,2020-08-02,83.0,2020-08-02,2020,8
151,2020-08-03,71.0,2020-08-03,2020,8
152,2020-08-04,86.0,2020-08-04,2020,8
153,2020-08-05,126.0,2020-08-05,2020,8
154,2020-08-06,70.0,2020-08-06,2020,8
155,2020-08-07,68.0,2020-08-07,2020,8
156,2020-08-08,121.0,2020-08-08,2020,8
157,2020-08-09,79.0,2020-08-09,2020,8
158,2020-08-10,103.0,2020-08-10,2020,8
159,2020-08-11,104.0,2020-08-11,2020,8
160,2020-08-12,73.0,2020-08-12,2020,8
161,2020-08-13,50.0,2020-08-13,2020,8
162,2020-08-14,85.0,2020-08-14,2020,8
163,2020-08-15,131.0,2020-08-15,2020,8
164,2020-08-16,111.0,2020-08-16,2020,8
165,2020-08-17,144.0,2020-08-17,2020,8
166,2020-08-18,120.0,2020-08-18,2020,8
167,2020-08-19,162.0,2020-08-19,2020,8
168,2020-08-20,306.0,2020-08-20,2020,8
169,2020-08-21,88.0,2020-08-21,2020,8
170,2020-08-22,68.0,2020-08-22,2020,8
171,2020-08-23,66.0,2020-08-23,2020,8
172,2020-08-24,70.0,2020-08-24,2020,8
173,2020-08-25,72.0,2020-08-25,2020,8
174,2020-08-26,85.0,2020-08-26,2020,8
175,2020-08-27,94.0,2020-08-27,2020,8
176,2020-08-28,122.0,2020-08-28,2020,8
177,2020-08-29,98.0,2020-08-29,2020,8
178,2020-08-30,72.0,2020-08-30,2020,8
179,2020-08-31,50.0,2020-08-31,2020,8
180,2020-09-01,69.0,2020-09-01,2020,9
181,2020-09-02,79.0,2020-09-02,2020,9
182,2020-09-03,114.0,2020-09-03,2020,9
183,2020-09-04,112.0,2020-09-04,2020,9
184,2020-09-05,93.0,2020-09-05,2020,9
185,2020-09-06,65.0,2020-09-06,2020,9
186,2020-09-07,140.0,2020-09-07,2020,9
187,2020-09-08,84.0,2020-09-08,2020,9
188,2020-09-09,172.0,2020-09-09,2020,9
189,2020-09-10,166.0,2020-09-10,2020,9
190,2020-09-11,223.0,2020-09-11,2020,9
